"IPN","MPN","Manufacturer","Description","Symbol","Footprint","Capacitance","Value","Voltage","Material","Tolerance","Datasheet","LCSC","TME"
"CAP-0000-0020","CL10C020CB8NNNC","Samsung Electro-Mechanics","CAP CER 2PF 50V C0G/NP0 0603","g-pas:C","g-cap:C_0603_1608Metric","2p",2E-12,50,"NP0","±0.25pF","https://weblib.samsungsem.com/mlcc/mlcc-ec-data-sheet.do?partNumber=CL05Y105KP6VPN","C1650",
"CAP-0000-0040","0603CG4R0C500NT","FH (Guangdong Fenghua Advanced Tech)","CAP CER 4PF 50V C0G/NP0 0603","g-pas:C","g-cap:C_0603_1608Metric","4p",4E-12,50,"NP0","±0.25pF","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8588900709887070208","C1668",
"CAP-0000-0100","CL10C100JB8NNNC","Samsung Electro-Mechanics","CAP CER 10pF 50V C0G 0603","g-pas:C","g-cap:C_0603_1608Metric","10p",1E-11,50,"NP0","±5%","https://www.lcsc.com/datasheet/C1634.pdf","C1634",
"CAP-0000-0150","CL10C150JB8NNNC","Samsung Electro-Mechanics","CAP CER 15pF 50V C0G 0603","g-pas:C","g-cap:C_0603_1608Metric","15p",1.5E-11,50,"C0G","±5%","https://www.lcsc.com/datasheet/C1644.pdf","C1644",
"CAP-0000-0180","C0603C180J5GACTU","KEMET","CAP CER 18PF 50V C0G/NP0 0603","g-pas:C","g-cap:C_0603_1608Metric","18p",1.8E-11,50,"NP0","±5%","https://www.yageogroup.com/content/datasheet/asset/file/KEM_C1003_C0G_SMD","C1647",
"CAP-0000-0220","CL10C220JB8NNNC","Samsung Electro-Mechanics","CAP CER 22pF 50V C0G 0603","g-pas:C","g-cap:C_0603_1608Metric","22p",2.2E-11,50,"C0G","±5%","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707043277824000","C1653",
"CAP-0000-0270","C0603C270J5GACTU","KEMET","CAP CER 27PF 50V C0G/NP0 0603","g-pas:C","g-cap:C_0603_1608Metric","27p",2.7E-11,50,"NP0","±5%","https://www.yageogroup.com/content/datasheet/asset/file/KEM_C1003_C0G_SMD","C107045",
"CAP-0000-0390","C0603C390J5GACTU","KEMET","CAP CER 39PF 50V C0G/NP0 0603","g-pas:C","g-cap:C_0603_1608Metric","39p",3.9E-11,50,"NP0","±5%","https://www.yageogroup.com/content/datasheet/asset/file/KEM_C1003_C0G_SMD","C107049",
"CAP-0000-0470","CL10C470JB8NNNC","Samsung Electro-Mechanics","CAP CER 47pF 50V C0G 0603","g-pas:C","g-cap:C_0603_1608Metric","47p",4.7E-11,50,"C0G","±5%","https://www.lcsc.com/datasheet/C1671.pdf","C1671",
"CAP-0000-0820","0603CG820J500NT","FH(Guangdong Fenghua Advanced Tech)","CAP CER 82pF 50V C0G 0603","g-pas:C","g-cap:C_0603_1608Metric","82p",8.2E-11,50,"NP0","±5%","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_FH--Guangdong-Fenghua-Advanced-Tech-0603CG820J500NT_C1683.pdf","C1683",
"CAP-0000-0151","CC0603FRNPO9BN151","YAGEO","CAP CER 150pF 50V NP0 0603","g-pas:C","g-cap:C_0603_1608Metric","150p",1.5E-10,50,"NP0","±1%","https://www.lcsc.com/datasheet/C519499.pdf","C519499",
"CAP-0000-0181","CC0603JRNPO9BN181","YAGEO","CAP CER 180pF 50V NP0 0603","g-pas:C","g-cap:C_0603_1608Metric","180p",1.8E-10,50,"NP0","±5%","https://www.lcsc.com/datasheet/C107041.pdf","C107041",
"CAP-0000-0221","CL10B221KB8NNNC","Samsung Electro-Mechanics","CAP CER 220pF 50V X7R 0603","g-pas:C","g-cap:C_0603_1608Metric","220p",2.2E-10,50,"X7R","±10%","https://www.lcsc.com/datasheet/C1603.pdf","C1603",
"CAP-0000-0331","CL10C331JB8NNNC","Samsung Electro-Mechanics","CAP CER 330pF 50V C0G 0603","g-pas:C","g-cap:C_0603_1608Metric","330p",3.3E-10,50,"NP0","±5%","https://jlcpcb.com/api/file/downloadByFileSystemAccessId/8579707056569573376","C1664",
